"id","name","genre1","genre2","year"
"87","Shanna Satterfield","Western","Fantasy","1972"
"88","Prof. Guy Schuppe","Drama","Fantasy","1980"
"89","Kaleigh Mueller","Drama","Fantasy","1980"
"90","Austen Cassin","Comedy","Historical","2000"
"91","Thaddeus Robel Sr.","Drama","Historical","2011"
"92","Ramona Sipes","Drama","Fantasy","1980"
"93","Magnus Conroy","Western","Animated","2011"
"94","Lincoln Hoppe III","Western","Historical","1972"
"95","Prof. Lowell Lindgren","Comedy","Fantasy","2000"
"96","Mr. Ezra Bernier","Western","Fantasy","2000"
"97","Rahsaan Schowalter","Drama","Fantasy","2021"
"98","Miss Maymie Murray","Western","Historical","2011"
"99","Henderson Schiller","Comedy","Animated","1972"
"100","Dr. Catharine Heathcote V","Comedy","Fantasy","1980"
"101","Miss Anjali Krajcik V","Comedy","Fantasy","2000"
"102","Kurt Raynor","Western","Animated","2011"
"103","Mr. Abdullah McLaughlin","Comedy","Animated","2000"
"104","Ole Welch II","Drama","Historical","1980"
"105","Madie Johns I","Western","Historical","2011"
"106","Joshua Ward DDS","Comedy","Animated","2021"
"107","Mrs. Haven Terry","Western","Historical","2021"
"108","Remington Medhurst I","Comedy","Animated","2011"
"109","Arielle Eichmann DVM","Western","Fantasy","2021"
"110","Randi Stokes IV","Western","Historical","2021"
"111","Dr. Cassidy Crooks DDS","Western","Historical","1980"
"112","Deion Fritsch","Western","Historical","2000"
"113","Bettie Stoltenberg IV","Drama","Animated","2021"
"114","Meggie Wyman","Western","Historical","2011"
"115","Ms. Earnestine Schamberger","Drama","Animated","1980"
"116","Irving Bode","Drama","Historical","2021"
"117","Ms. Tiana McLaughlin DVM","Western","Animated","2011"
"118","Prof. Vincent Kris","Western","Animated","2000"
"119","Keara Ruecker","Drama","Fantasy","2000"
"120","Prof. Kamron Hansen","Drama","Fantasy","2021"
"121","Shea Heaney","Western","Animated","1972"
"122","Waylon Stehr","Western","Historical","2011"
"123","Cierra Durgan","Comedy","Animated","2000"
"124","Ms. Deja Konopelski IV","Drama","Historical","1972"
"125","Nikko Crist DDS","Drama","Fantasy","1980"
"126","Carolyne Walker","Comedy","Animated","1980"
"127","Eli Tillman","Comedy","Historical","2000"
"128","Tyra Becker","Western","Animated","1980"
"129","Ryley Harris","Drama","Fantasy","2021"
"130","Noemy Fritsch","Western","Fantasy","1972"
"131","Devon Mertz","Drama","Historical","2011"
"132","Oswald Murazik","Drama","Animated","2011"
"133","Brooklyn Swaniawski","Drama","Animated","1972"
"134","Devin Bins Jr.","Drama","Historical","2000"
"135","Reese Lockman MD","Drama","Historical","1972"
"136","Prof. Chelsey Zemlak","Comedy","Historical","1980"
"137","Carroll Jaskolski","Drama","Animated","2021"
"138","Urban Homenick","Drama","Fantasy","2011"
"139","Dena Hilpert","Drama","Fantasy","2000"
"140","Roscoe Wehner","Comedy","Animated","2021"
"141","Hassan Dicki","Western","Fantasy","2021"
"142","Reina Anderson","Western","Fantasy","2011"
"143","Gaston Armstrong","Comedy","Animated","2021"
"144","Gail Kub","Drama","Historical","1980"
"145","Mr. Wiley Carter","Drama","Historical","2011"
"146","Joe Kozey","Western","Animated","2021"
"147","Tyrique Streich","Drama","Fantasy","2011"
"148","Mr. Darren Breitenberg III","Comedy","Historical","2021"
"149","Lavern Bradtke","Drama","Fantasy","2021"
"150","Isaac Kling IV","Comedy","Animated","1972"
"151","Adrienne Feil PhD","Comedy","Fantasy","1972"
"152","Mr. Claude Gerlach","Comedy","Animated","1972"
"153","Ms. Winnifred VonRueden PhD","Comedy","Animated","2011"
"154","Bud Kulas","Western","Fantasy","2000"
"155","Hallie Koepp","Western","Animated","1980"
"156","Prof. Oleta Runte I","Comedy","Fantasy","2000"
"157","Marguerite Gutmann","Comedy","Animated","2021"
"158","Al Blick","Comedy","Historical","2021"
"159","Madelynn Lueilwitz","Drama","Historical","1980"
"160","Mrs. Martina Wisoky","Comedy","Animated","1980"
"161","Korbin Romaguera PhD","Western","Fantasy","2021"
"162","Dr. Carlo Willms","Comedy","Historical","2000"
"163","Prof. Americo Sporer","Western","Historical","2000"
"164","Ms. Elyssa Ebert","Western","Animated","2000"
"165","Jovani Nienow","Western","Fantasy","2021"
"166","Dr. Verlie Reynolds","Drama","Animated","2011"
"167","Emery Altenwerth","Comedy","Fantasy","1980"
"168","Theresia Hill","Western","Historical","1972"
"169","Dominic Roberts","Comedy","Animated","2000"
"170","Peyton Rohan","Western","Animated","2000"
"171","Alexander Halvorson DDS","Comedy","Historical","2000"
"172","Maurine Goodwin","Western","Animated","1972"
"173","Birdie Wolff","Western","Fantasy","2011"
"174","Mrs. Anya Leffler","Drama","Animated","1972"
"175","Trace Wolff IV","Drama","Animated","2000"
"176","Prof. Lindsay Wintheiser I","Comedy","Fantasy","1980"
"177","Hazel Abbott","Drama","Fantasy","2021"
"178","Miss Norma Brekke PhD","Western","Fantasy","2021"
"179","Mr. Isaac Wiegand","Drama","Historical","2011"
"180","Juliana Fisher","Drama","Historical","2021"
"181","Valentina Funk","Western","Historical","2021"
"182","Demetris Gleason","Drama","Fantasy","1980"
"183","Jackeline Kutch","Comedy","Fantasy","2011"
"184","Adeline Stokes","Drama","Animated","1980"
"185","Dr. Bennett Kshlerin Sr.","Western","Historical","2011"
"186","Mr. Zane Kling IV","Comedy","Animated","1980"
"187","Prof. Isabell Harris V","Western","Historical","1980"
"188","Nicklaus DuBuque","Western","Historical","1980"
"189","Donald Jaskolski","Western","Animated","2021"
"190","Roel Cummings","Comedy","Historical","2000"
"191","Prof. Maxine Bartoletti","Drama","Fantasy","1980"
"192","Ezekiel Greenholt","Comedy","Fantasy","2011"
"193","Jovany Rempel IV","Western","Historical","2021"
"194","Carmella Thiel","Drama","Animated","2021"
"195","Mireya Waters","Comedy","Fantasy","1972"
"196","Barry Conn","Comedy","Fantasy","1972"
"197","Ned Bogisich","Drama","Historical","2011"
"198","Mafalda Kovacek","Drama","Historical","2011"
"199","Flo Kohler","Drama","Historical","2000"
"200","Dr. Giles Langworth","Western","Historical","2021"
"201","Ms. Valentine Hintz II","Drama","Animated","2011"
"202","Hermann Renner","Comedy","Historical","2000"
"203","Johann Robel","Western","Fantasy","2021"
"204","Dr. Jarrell Klein","Comedy","Historical","1972"
"205","Prof. Camden O'Keefe","Western","Historical","1972"
"206","Sheridan Gleichner","Western","Historical","2021"
"207","Maurine Cormier","Drama","Animated","2000"
"208","Camylle Langosh","Comedy","Animated","2011"
"209","Mrs. Maggie Cronin DVM","Western","Animated","2011"
"210","Dr. Luisa Lebsack II","Drama","Animated","2021"
"211","Prof. Beulah Fritsch PhD","Western","Animated","1972"
"212","Carmel O'Kon","Western","Fantasy","1980"
"213","Mrs. Jaunita Windler","Western","Fantasy","1972"
"214","Ramona Balistreri","Comedy","Historical","2011"
"215","Mrs. Verla Crist","Comedy","Fantasy","2000"
"216","Leanne Rowe III","Western","Fantasy","2011"
"217","Mylene Wuckert","Comedy","Animated","1972"
"218","Mrs. Noemy Zemlak","Drama","Historical","2011"
"219","Pansy O'Conner","Western","Fantasy","1980"
"220","Millie Walsh Jr.","Drama","Historical","1972"
"221","Isidro Mueller","Comedy","Historical","1972"
"222","Clara Heidenreich","Drama","Animated","1972"
"223","Rylee Ortiz","Western","Fantasy","1980"
"224","Antone Dietrich","Drama","Fantasy","2011"
"225","Emmet Homenick","Drama","Fantasy","1972"
"226","Prof. Chloe West DVM","Drama","Historical","2021"
"227","Myrtice Koch","Drama","Fantasy","2000"
"228","Mrs. Esta Durgan DDS","Western","Fantasy","2000"
"229","Jakayla Klein","Comedy","Historical","2021"
"230","Mozell Pouros","Comedy","Animated","1980"
"231","Clyde Sanford","Comedy","Historical","1972"
"232","Ophelia Terry","Western","Historical","1972"
"233","Jorge Durgan","Drama","Historical","2000"
"234","Bradly Ruecker DVM","Comedy","Fantasy","2021"
"235","Mathilde Goyette","Comedy","Fantasy","2011"
"236","Layne Abernathy V","Comedy","Historical","2021"
"237","Prof. Raquel Prohaska I","Western","Historical","2000"
"238","Dr. Julio Treutel","Drama","Historical","2000"
"239","Dr. Brayan Klein","Comedy","Historical","1972"
"240","Ada Gibson V","Western","Animated","2021"
"241","Mr. Waldo Reinger Jr.","Western","Animated","1980"
"242","Randal Buckridge","Drama","Historical","1980"
"243","Roxane Kirlin","Drama","Animated","2011"
"244","John Schaefer","Drama","Fantasy","2011"
"245","Dashawn Heaney","Drama","Animated","1980"
"246","Magnolia DuBuque","Western","Historical","1972"
"247","Prof. Paolo Reynolds","Drama","Historical","2000"
"248","Joshua Hammes","Comedy","Historical","2000"
"249","Keely Tillman","Western","Historical","2000"
"250","Miss Aniya Franecki IV","Comedy","Historical","1980"
"251","Dr. Flavie Beahan","Comedy","Fantasy","2000"
"252","Aleen Zulauf","Comedy","Historical","1980"
"253","Delfina Kozey MD","Western","Animated","2011"
"254","Jarrett Wisoky","Comedy","Animated","2000"
"255","Dr. Nigel VonRueden","Western","Historical","2021"
"256","Tyra Ullrich","Western","Fantasy","1972"
"257","Daniela Stark","Drama","Fantasy","2000"
"258","Matilda Upton","Comedy","Fantasy","1972"
"259","Mrs. Assunta Volkman","Comedy","Animated","2021"
"260","Mr. Alec Bins DDS","Comedy","Historical","2011"
"261","Mrs. Blanca Roob Jr.","Drama","Historical","2011"
"262","Garth Langworth","Comedy","Fantasy","1972"
"263","Mozell Heller I","Comedy","Historical","1972"
"264","Miss Caterina VonRueden V","Western","Animated","2021"
"265","River Adams","Drama","Historical","2021"
"266","Katrina Romaguera","Comedy","Historical","2021"
"267","Kennedi Conn","Comedy","Fantasy","2000"
"268","Bret Brown","Drama","Historical","2000"
"269","Jay Glover I","Drama","Animated","2021"
"270","Prudence Jaskolski","Drama","Historical","2000"
"271","Prof. Millie Grimes","Comedy","Fantasy","2011"
"272","Gregorio Koch","Comedy","Animated","1980"
"273","Amara Ruecker","Drama","Historical","2000"
"274","Isidro Steuber","Comedy","Historical","1980"
"275","Maya Graham","Comedy","Animated","2021"
"276","Abel Gutmann","Western","Fantasy","1972"
"277","Andy Legros","Drama","Animated","2011"
"278","Marquis Rohan II","Drama","Fantasy","2021"
"279","Vance Auer","Comedy","Historical","1980"
"280","Sherwood Krajcik","Comedy","Historical","2000"
"281","Waldo Huel","Western","Fantasy","2011"
"282","Miss Marietta Pfannerstill","Western","Historical","1980"
"283","Prof. Sonia Purdy","Drama","Animated","1972"
"284","Mrs. Bernita Cole Sr.","Comedy","Animated","2021"
"285","Mr. Arnold Pouros MD","Drama","Historical","2021"
"286","Damian Rogahn I","Comedy","Historical","1980"
"287","Leonard Rippin Sr.","Drama","Historical","1980"
"288","Brenda Kutch MD","Western","Fantasy","1972"
"289","Dr. Jaylan Wilderman","Western","Fantasy","2011"
"290","Bernardo Goyette","Comedy","Fantasy","2021"
"291","Ramon Renner","Western","Historical","2021"
"292","Janice Schumm","Western","Fantasy","2021"
"293","Josianne Kilback","Western","Historical","2000"
"294","Mrs. Josie Zieme","Western","Animated","2021"
"295","Mr. Barton Herman V","Comedy","Fantasy","1972"
"296","Shaniya Carter","Comedy","Historical","2021"
"297","Keely Krajcik II","Drama","Animated","1972"
"298","Marcelino Sporer","Drama","Historical","1972"
"299","Dr. Jennings Marquardt","Drama","Animated","1980"
"300","Prof. Jailyn Ritchie V","Western","Animated","1980"
"301","Oran Feil","Western","Historical","2000"
"302","Lonny Renner","Drama","Fantasy","2000"
"303","Alexanne Klocko","Drama","Historical","1980"
"304","Mr. Harmon Littel","Western","Historical","2021"
"305","Prof. Stan Schiller DVM","Comedy","Fantasy","1980"
"306","Twila DuBuque","Comedy","Fantasy","2011"
"307","Waino Schroeder","Drama","Animated","1980"
"308","Pearl Pacocha I","Comedy","Fantasy","1972"
"309","Tiara Blick","Western","Historical","2021"
"310","Nathan Gibson","Drama","Animated","2011"
"311","Claudia Gibson","Drama","Animated","2021"
"312","Mrs. Pearline Yost","Drama","Historical","1972"
"313","Jude Will","Comedy","Historical","2011"
"314","Mrs. Jordane Heller","Drama","Fantasy","1972"
"315","Erich Labadie","Western","Fantasy","2000"
"316","Emmanuelle Bins","Western","Historical","1980"
"317","Breanna McCullough","Drama","Historical","2011"
"318","Luis Heaney","Drama","Historical","1972"
"319","Alexanne Rosenbaum I","Western","Animated","1972"
"320","Weldon Bogan","Drama","Historical","2011"
"321","Oran Mayer","Drama","Fantasy","2011"
"322","Miss Theodora Little Jr.","Comedy","Animated","1980"
"323","Prof. Ron Pagac MD","Drama","Historical","1972"
"324","Joesph Windler","Western","Fantasy","1972"
"325","Bella Haley","Comedy","Historical","1980"
"326","Jalen Schowalter II","Comedy","Fantasy","1972"
"327","Ms. Arlie Hodkiewicz MD","Drama","Historical","2011"
"328","Dr. Kimberly Auer Sr.","Drama","Historical","2011"
"329","Prof. Enid Greenfelder Jr.","Drama","Historical","2021"
"330","Prof. Rylee Howell PhD","Western","Fantasy","2011"
"331","Dr. Conner Carter Jr.","Drama","Animated","1972"
"332","Janae Trantow","Comedy","Animated","2000"
"333","Mr. Wiley Murray","Drama","Animated","1980"
"334","Prof. Elizabeth White","Drama","Animated","1980"
"335","General Kovacek Sr.","Comedy","Animated","2000"
"336","Herminio Heidenreich","Comedy","Fantasy","1972"
"337","Laurel Medhurst","Western","Fantasy","2021"
"338","Roger Koss","Western","Animated","2021"
"339","Katrina Gislason","Comedy","Historical","1980"
"340","Claire Yost","Comedy","Animated","2011"
"341","Ottilie Toy","Drama","Fantasy","2000"
"342","Irma Ullrich","Comedy","Animated","2011"
"343","Brennon Nitzsche","Comedy","Animated","1972"
"344","Dale Green","Drama","Historical","2021"
"345","Mr. Trent Maggio","Western","Historical","1980"
"346","Dr. Reinhold Dibbert MD","Western","Historical","2021"
"347","Dr. Adolf Huel","Comedy","Historical","1980"
"348","Michele Bins","Western","Fantasy","2011"
"349","Mackenzie Tillman","Comedy","Animated","2021"
"350","Elwin Rath","Comedy","Fantasy","2011"
"351","Lucy Lang","Drama","Fantasy","2000"
"352","Miss Allene Koepp DDS","Drama","Historical","2011"
"353","Bonnie Hyatt","Comedy","Historical","2011"
"354","Nyah Dicki","Western","Historical","2021"
"355","Hallie Hilpert","Western","Fantasy","1972"
"356","Mrs. Thea Cartwright","Drama","Fantasy","2021"
"357","Nash Cruickshank MD","Western","Animated","2011"
"358","Mrs. Rosella Heaney","Drama","Historical","1980"
"359","Garnet Nolan","Drama","Historical","2000"
"360","Jaquelin Jacobs I","Drama","Animated","1980"
"361","Landen Greenholt","Western","Historical","2000"
"362","Blaze White","Drama","Animated","1980"
"363","Lillie Monahan","Western","Fantasy","1980"
"364","Mr. Mathew Jast","Comedy","Fantasy","1972"
"365","Prof. Archibald Paucek IV","Western","Fantasy","2021"
"366","Reva Brakus","Western","Fantasy","1980"
"367","Ruben Murazik DDS","Comedy","Fantasy","2000"
"368","Prof. Donnie Gleichner","Drama","Fantasy","2021"
"369","Ms. Ivy Hudson PhD","Comedy","Fantasy","2011"
"370","Tevin Nienow DVM","Drama","Fantasy","1980"
"371","Marlee Waelchi","Western","Historical","2000"
"372","Kailyn Cremin","Comedy","Fantasy","1980"
"373","Reanna Zemlak","Drama","Fantasy","1972"
"374","Gisselle Gislason","Comedy","Historical","2000"
"375","Prudence Bahringer","Western","Historical","2021"
"376","Dangelo Terry","Comedy","Animated","1972"
"377","Laisha Howell","Comedy","Animated","2000"
"378","Ms. Salma Lockman","Drama","Animated","2021"
"379","Blaze Von","Comedy","Historical","2000"
"380","Annamarie Feeney","Drama","Animated","2000"
"381","Prof. Emanuel Heathcote III","Drama","Fantasy","1980"
"382","Mr. Unique Treutel IV","Western","Fantasy","1980"
"383","Candice Kris","Comedy","Historical","1972"
"384","Steve Schinner","Western","Fantasy","2021"
"385","Clay Hayes","Drama","Fantasy","1980"
"386","Jeremy Heller","Drama","Historical","1972"
"387","Hazel Langosh II","Comedy","Fantasy","1980"
"388","Coralie Murray","Western","Historical","1980"
"389","Evangeline Mitchell","Western","Fantasy","1972"
"390","Ofelia Cronin I","Western","Animated","2011"
"391","Karlie Kuhlman","Drama","Animated","2011"
"392","Filiberto Murray","Comedy","Animated","2011"
"393","Gregoria Ondricka","Western","Historical","2000"
"394","Madelynn Ziemann MD","Western","Animated","2011"
"395","Prof. Ervin Kris Sr.","Comedy","Animated","2000"
"396","Ignacio O'Kon V","Western","Historical","1972"
"397","Dr. Stanton King","Drama","Fantasy","1972"
"398","Emelia Parisian","Drama","Fantasy","2021"
"399","Mr. Judah Stiedemann V","Drama","Fantasy","1980"
"400","Merlin Lakin","Western","Animated","2000"
"401","Chauncey Upton","Comedy","Animated","2000"
"402","Vivianne Weissnat V","Comedy","Animated","2000"
"403","Dr. Hilbert Kuphal Jr.","Comedy","Animated","1972"
"404","Otha Buckridge","Comedy","Animated","1980"
"405","Dr. Hellen Schowalter Jr.","Drama","Animated","1972"
"406","Gladys Schimmel V","Drama","Animated","2011"
"407","Eunice Wehner","Western","Animated","2000"
"408","Prof. Leatha Jones","Comedy","Fantasy","1980"
"409","Miss Addie Waters","Comedy","Animated","1980"
"410","Mr. Chad Ledner","Comedy","Historical","2021"
"411","Ms. Delores Goodwin MD","Western","Animated","2011"
"412","Kacey O'Hara","Western","Fantasy","1972"
"413","Guadalupe Berge IV","Western","Fantasy","1980"
"414","Ms. Melba Labadie MD","Comedy","Historical","2011"
"415","Jada Bogisich","Drama","Fantasy","2000"
"416","Alysa Baumbach","Drama","Animated","1980"
"417","Ryley Collier","Western","Animated","1972"
"418","Green Dietrich","Drama","Fantasy","2011"
"419","Susana Murazik Jr.","Drama","Fantasy","1980"
"420","Chester Weber","Drama","Fantasy","1972"
"421","Carolyne Shanahan MD","Comedy","Animated","1972"
"422","Mr. Colt Willms DDS","Comedy","Animated","1980"
"423","Ms. Suzanne Carroll MD","Comedy","Historical","2000"
"424","Stanley Adams","Comedy","Historical","2021"
"425","Dr. Dwight Ebert MD","Comedy","Historical","1972"
"426","Dariana Wuckert","Drama","Animated","2021"
"427","Astrid Mertz","Western","Historical","2000"
"428","Denis Goldner","Comedy","Animated","2011"
"429","Morgan Hudson","Drama","Fantasy","2021"
"430","Dr. Aliyah Reynolds","Comedy","Animated","2011"
"431","Verla Kuvalis","Comedy","Animated","2011"
"432","Ms. Idell O'Hara","Comedy","Fantasy","2000"
"433","Iva Huel Jr.","Comedy","Fantasy","1972"
"434","Prof. Chance Stark","Comedy","Fantasy","2021"
"435","Prof. Cleta Hackett MD","Comedy","Historical","2000"
"436","Noble Monahan","Western","Historical","1972"
"437","Jillian Christiansen","Drama","Fantasy","2000"
"438","Abel Murazik","Drama","Fantasy","1980"
"439","Mara Wiegand V","Comedy","Animated","1980"
"440","Dr. Zachery Barton","Western","Fantasy","2021"
"441","Jermaine Brekke","Drama","Fantasy","2021"
"442","Shanna Jakubowski","Western","Historical","2000"
"443","Nelda Roberts","Drama","Historical","2000"
"444","Vernie Casper","Western","Historical","2021"
"445","Shana Schmeler","Drama","Animated","2021"
"446","Arvid Hayes","Western","Fantasy","2000"
"447","Roscoe Connelly III","Western","Animated","1972"
"448","Dr. Beaulah Windler IV","Western","Historical","1980"
"449","Palma Koch","Western","Animated","2021"
"450","Miss Dandre Renner","Western","Animated","1980"
"451","Herminio Torp","Drama","Historical","2000"
"452","Zetta Leuschke","Drama","Historical","1980"
"453","Miss Gladyce Turner V","Comedy","Animated","2021"
"454","Dr. Chandler Koelpin V","Comedy","Animated","1980"
"455","Maudie Moen","Western","Historical","1972"
"456","Floyd Botsford","Comedy","Animated","2011"
"457","Mr. Arely Thompson MD","Western","Historical","2021"
"458","Stanford Bayer","Comedy","Fantasy","1972"
"459","Marion Medhurst","Western","Animated","1972"
"460","Melyssa Mitchell","Comedy","Historical","2000"
"461","Dr. Rosemarie Orn","Western","Fantasy","1972"
"462","Dr. Royal Smitham","Western","Fantasy","2000"
"463","Chadd D'Amore","Comedy","Fantasy","1972"
"464","Prof. Jerrell Pfeffer","Drama","Historical","2000"
"465","Mr. Antonio Rau III","Western","Animated","1980"
"466","Hans Kassulke I","Western","Animated","2011"
"467","Nathaniel Koch","Comedy","Fantasy","2000"
"468","Ms. Dannie Smitham","Western","Historical","2021"
"469","Pamela Herman","Comedy","Animated","2011"
"470","Dr. Leon Hudson Jr.","Comedy","Historical","2000"
"471","Georgiana Hessel","Comedy","Animated","1972"
"472","Marilyne Abbott","Western","Historical","2021"
"473","Joaquin McKenzie","Western","Historical","2011"
"474","Daisy Waters","Western","Historical","2011"
"475","Toby Heidenreich V","Western","Animated","1972"
"476","Betsy Connelly","Drama","Historical","1972"
"477","Aylin Batz MD","Drama","Historical","2011"
"478","Edd Greenholt","Western","Animated","1980"
"479","Federico Huels","Comedy","Animated","1980"
"480","Josh Kovacek","Western","Fantasy","1980"
"481","Kaya Harber MD","Drama","Historical","2021"
"482","Patsy Sipes IV","Drama","Animated","2021"
"483","Shakira Lindgren","Drama","Fantasy","2000"
"484","Prof. Shirley Ortiz","Comedy","Historical","2021"
"485","Dr. Dayna Schaefer","Comedy","Animated","1972"
"486","Miss Felicity Collins DVM","Drama","Fantasy","1972"
"487","Cleveland Daugherty","Comedy","Historical","2011"
"488","Tillman Ratke Sr.","Western","Animated","1972"
"489","Morton Wilkinson","Comedy","Animated","1980"
"490","Mr. Buck Pfeffer","Western","Animated","2021"
"491","Mr. Judd Runolfsson","Drama","Animated","2000"
"492","Dr. Alexys Friesen Sr.","Comedy","Historical","2021"
"493","Neil Stoltenberg","Western","Fantasy","2000"
"494","Miss Vernice Volkman","Comedy","Animated","1972"
"495","Prof. Lavern Schimmel","Drama","Fantasy","2000"
"496","Geovanny Casper","Drama","Animated","2011"
"497","Darrin Greenholt II","Western","Historical","2021"
"498","Fatima Hyatt","Western","Animated","2000"
"499","Tomasa Lubowitz","Western","Animated","2000"
"500","Vernie Howell","Drama","Historical","1972"
"501","Dorian Christiansen","Drama","Fantasy","1980"
"502","Herta Auer I","Western","Fantasy","2011"
"503","Reba Pagac II","Drama","Animated","1980"
"504","Mr. Hayden Beahan","Western","Fantasy","2011"
"505","Dr. Tia Stracke I","Western","Fantasy","2011"
"506","Leatha Dickens","Drama","Fantasy","2000"
"507","Zion Ortiz","Comedy","Animated","2021"
"508","Prof. Wellington Botsford IV","Comedy","Fantasy","2000"
"509","Sim Oberbrunner","Drama","Fantasy","2021"
"510","Wellington Harvey","Western","Animated","1972"
"511","Moshe Strosin","Drama","Historical","1980"
"512","Dr. Ellsworth Gibson","Comedy","Fantasy","2011"
"513","Granville Keebler","Western","Animated","2011"
"514","Mr. Emerson Kessler Sr.","Comedy","Fantasy","2011"
"515","Aileen Konopelski","Comedy","Historical","1980"
"516","Prof. Casey Rice","Comedy","Fantasy","2011"
"517","Elise Swift","Western","Animated","2011"
"518","Tyree Champlin","Drama","Fantasy","1972"
"519","Dr. Burnice Herzog","Comedy","Historical","1972"
"520","Dr. Bella Kassulke I","Comedy","Animated","1980"
"521","Garfield Reichert","Drama","Historical","1972"
"522","Mr. Moriah Nolan","Drama","Animated","2021"
"523","Claudia Mann","Drama","Animated","1980"
"524","Jacynthe Roob","Drama","Historical","2021"
"525","Myles Dietrich","Western","Historical","1980"
